"states","indicators","Unit","Date","Value"
"Kano","Fish frozen","","2006",48810
"Kano","Dried fish","","2006",19643
"Kano","fried fish","","2006",15547
"Kano","Smoked fish","","2006",2772
"Kano","Bush meat","","2006",564
"Kano","Other Meat","","2006",83000
"Kano","OTHER ROOT/TUBER","","2006",4114
"Katsina","MAIZE (WHITE)","","2006",202891
"Katsina","MAIZE (YELLOW)","","2006",19840
"Katsina","RICE (LOCAL)","","2006",73359
"Katsina","RICE (AGRIC)","","2006",50456
"Katsina","RICE (IMPORTED)","","2006",102890
"Katsina","MAIZE FLOUR","","2006",7868
"Katsina","CASSAVA FLOUR","","2006",8700
"Katsina","CASSAVA","","2006",11523
"Katsina","Cassava (Akpu)","","2006",1810
"Katsina","FRUITS (N)","","2006",65933
"Katsina","VEGETABLE (N)","","2006",408756
"Katsina","Fish fresh","","2006",17170
"Katsina","Fish frozen","","2006",7125
"Katsina","Dried fish","","2006",900
"Katsina","fried fish","","2006",14285
"Katsina","Smoked fish","","2006",100
"Katsina","Bush meat","","2006",1300
"Katsina","Other Meat","","2006",20615
"Katsina","OTHER ROOT/TUBER","","2006",1247
"Kebbi","MAIZE (WHITE)","","2006",179061
"Kebbi","MAIZE (YELLOW)","","2006",10034
"Kebbi","RICE (LOCAL)","","2006",352832
"Kebbi","RICE (AGRIC)","","2006",22658
"Kebbi","RICE (IMPORTED)","","2006",4722
"Kebbi","MAIZE FLOUR","","2006",1820
"Kebbi","CASSAVA FLOUR","","2006",972
"Kebbi","CASSAVA","","2006",11523
"Kebbi","Cassava (Akpu)","","2006",1223
"Kebbi","FRUITS (N)","","2006",42385
"Kebbi","VEGETABLE (N)","","2006",168611
"Kebbi","Fish fresh","","2006",74914
"Kebbi","Fish frozen","","2006",1520
"Kebbi","Dried fish","","2006",81478
"Kebbi","fried fish","","2006",9146
"Kebbi","Smoked fish","","2006",2610
"Kebbi","Bush meat","","2006",7922
"Kebbi","Other Meat","","2006",109493
"Kebbi","OTHER ROOT/TUBER","","2006",1247
"Kogi","MAIZE (WHITE)","","2006",12463
"Kogi","MAIZE (YELLOW)","","2006",2605
"Kogi","RICE (LOCAL)","","2006",22311
"Kogi","RICE (AGRIC)","","2006",562
"Kogi","RICE (IMPORTED)","","2006",12370
"Kogi","MAIZE FLOUR","","2006",720
"Kogi","CASSAVA FLOUR","","2006",10960
"Kogi","CASSAVA","","2006",5836
"Kogi","Cassava (Akpu)","","2006",200
